,open,high,low,close,volume,value
2024-02-07 14:05:00,988.0,1045.0,765.8,824.5,15158205.7954913,14044037671.908958
2024-02-07 14:06:00,824.7,900.0,816.4,883.7,7732061.52787551,6656660377.038242
2024-02-07 14:07:00,885.4,933.2,869.7,925.9,6419023.51505505,5769340708.437789
2024-02-07 14:08:00,927.5,950.5,903.4,944.1,6495075.93634043,6015240144.56787
2024-02-07 14:09:00,943.2,960.0,919.9,921.2,5579842.42923525,5253264785.64755
2024-02-07 14:10:00,921.2,966.0,921.2,946.6,3560114.23230736,3381937494.6967907
2024-02-07 14:11:00,947.0,957.2,925.0,945.4,4009641.47146808,3782867391.44311
2024-02-07 14:12:00,949.9,964.9,940.0,940.0,3775396.90875337,3592259028.2498
2024-02-07 14:13:00,940.0,948.0,924.0,927.8,2969392.0006392,2767092948.922425
2024-02-07 14:14:00,927.4,936.4,924.8,936.4,2234221.4687031,2080271608.2937386
2024-02-07 14:15:00,936.3,942.0,871.0,871.0,5740545.59719538,5203846561.196184
2024-02-07 14:16:00,871.0,886.0,844.7,851.8,5542198.0557245,4816363459.099107
2024-02-07 14:17:00,851.8,876.6,851.6,876.5,2252371.14826875,1956359995.858715
2024-02-07 14:18:00,876.9,900.0,876.6,896.7,2928435.59226263,2605208709.199244
2024-02-07 14:19:00,899.2,903.0,887.0,890.0,2449149.13147712,2193729167.4750495
2024-02-07 14:20:00,889.4,894.0,884.6,890.1,1787644.78695299,1589534365.6212683
2024-02-07 14:21:00,890.1,910.4,880.3,900.0,2618544.57781897,2354623534.645335
2024-02-07 14:22:00,900.0,920.0,896.0,918.1,1832444.33280491,1665223207.7873986
2024-02-07 14:23:00,918.0,918.1,905.0,913.0,1561172.10352409,1421951029.035704
2024-02-07 14:24:00,912.7,912.7,890.0,902.3,1509789.5510821,1358989498.582293
2024-02-07 14:25:00,901.7,912.0,901.7,907.7,874970.53935085,792499117.5752608
2024-02-07 14:26:00,907.7,909.0,898.7,901.9,1171224.88316124,1056031772.916123
2024-02-07 14:27:00,901.9,910.3,900.5,910.3,1082801.88291358,980159428.7693005
2024-02-07 14:28:00,910.4,911.9,858.2,874.5,3450257.36781709,3039472104.135418
2024-02-07 14:29:00,870.4,892.5,859.5,871.4,2923992.0496319,2553162260.620565
2024-02-07 14:30:00,871.6,876.5,846.4,861.3,3007388.32513072,2585629602.660173
2024-02-07 14:31:00,860.2,874.0,860.2,864.9,1360393.22242911,1175172952.829974
2024-02-07 14:32:00,865.0,874.1,865.0,867.6,1275530.85537473,1108012885.2604928
2024-02-07 14:33:00,867.6,880.4,866.6,877.0,1454178.72269069,1270941859.600423
2024-02-07 14:34:00,877.0,877.7,871.8,874.3,825311.60706322,722062662.9189025
2024-02-07 14:35:00,873.5,881.1,871.7,879.5,1167531.31002787,1025504731.8722113
2024-02-07 14:36:00,879.5,881.9,823.0,855.0,4184872.70617905,3554307688.6851087
2024-02-07 14:37:00,855.0,855.0,836.3,841.9,2624756.4807003,2211228956.8513184
2024-02-07 14:38:00,842.0,854.1,841.2,849.9,1483280.25339444,1258961152.8066566
2024-02-07 14:39:00,850.0,854.2,849.4,849.4,841663.98049707,717368777.8351414
2024-02-07 14:40:00,849.4,858.8,847.9,858.4,836634.13030905,714049827.5244763
2024-02-07 14:41:00,858.5,860.8,851.1,851.1,1088719.37171774,932509487.6257038
2024-02-07 14:42:00,851.1,854.6,823.4,824.2,2731776.73081774,2286948190.4513173
2024-02-07 14:43:00,823.5,831.0,817.0,817.3,3608370.23235404,2967412654.1119657
