,open,high,low,close,volume,value
2024-03-10 18:12:00,1004.0,1005.0,1002.0,1005.0,42945.77952982,43089621.13913281
2024-03-10 18:13:00,1004.0,1005.0,1003.0,1004.0,28493.69034843,28602077.36088665
2024-03-10 18:14:00,1004.0,1004.0,1003.0,1003.0,40154.00916332,40274894.30475099
2024-03-10 18:15:00,1003.0,1003.0,1001.0,1001.0,175198.11287963,175605166.77166292
2024-03-10 18:16:00,1002.0,1002.0,999.2,999.5,325178.88085155,325180815.6832979
2024-03-10 18:17:00,999.5,999.9,998.0,998.0,379501.23556297,379119861.90025604
2024-03-10 18:18:00,998.0,998.0,996.4,996.4,96116.74877883,95847250.00757296
2024-03-10 18:19:00,996.5,998.9,996.4,998.0,66100.78997847,65889397.56440979
2024-03-10 18:20:00,998.1,998.8,998.0,998.8,28023.94865671,27978903.69405953
2024-03-10 18:21:00,998.8,998.8,997.0,997.7,136387.73554199,136118037.57436943
2024-03-10 18:22:00,997.7,998.0,996.7,997.0,55259.46338628,55105944.02787479
2024-03-10 18:23:00,997.1,997.1,996.7,996.7,32419.96206089,32323220.40545285
2024-03-10 18:24:00,997.1,997.3,996.7,996.9,30573.49124393,30481746.1888963
2024-03-10 18:25:00,996.9,996.9,996.6,996.6,48707.92101187,48546594.65901983
2024-03-10 18:26:00,996.6,996.7,996.0,996.0,82398.81765098,82091352.67301652
2024-03-10 18:27:00,996.2,996.4,996.0,996.0,60378.99638943,60144925.97076719
2024-03-10 18:28:00,996.0,996.4,995.7,995.7,78933.2463509,78613533.00694342
2024-03-10 18:29:00,995.7,995.8,994.2,994.5,147539.98026548,146813494.5994114
2024-03-10 18:30:00,994.5,997.4,994.5,997.0,59051.88925945,58808258.09123454
2024-03-10 18:31:00,996.9,998.1,995.3,995.4,78198.81694149,77945706.75336988
2024-03-10 18:32:00,995.4,995.4,992.8,992.8,197561.68601329,196373998.45118883
2024-03-10 18:33:00,992.8,993.0,991.0,991.0,133503.90891682,132401221.95533217
2024-03-10 18:34:00,991.0,991.1,990.0,990.1,204527.65487987,202542875.72368014
2024-03-10 18:35:00,990.2,992.0,990.0,991.3,62420.6885064,61844398.93587494
2024-03-10 18:36:00,991.5,992.0,990.5,991.2,65578.69343203,65006156.54644832
2024-03-10 18:37:00,990.9,991.2,990.1,990.5,86789.14686636,85970375.3710066
2024-03-10 18:38:00,990.5,991.2,990.3,991.2,27747.17636576,27487155.56239877
2024-03-10 18:39:00,991.2,992.0,990.6,991.6,53318.92024115,52861930.8192584
2024-03-10 18:40:00,991.6,992.0,990.5,990.5,43725.2772368,43325068.13091768
2024-03-10 18:41:00,990.5,993.0,990.4,991.6,23475.46089353,23277548.09717606
2024-03-10 18:42:00,991.6,993.0,991.0,991.5,38299.12437881,37991938.05050516
2024-03-10 18:43:00,991.5,995.0,991.1,993.5,67317.75082349,66838584.86636691
2024-03-10 18:44:00,993.5,995.0,992.1,992.3,28723.73153642,28528800.40573323
2024-03-10 18:45:00,992.3,994.7,992.3,992.5,29417.15781656,29210079.89414664
2024-03-10 18:46:00,992.5,993.5,992.5,993.2,8033.5499492,7978697.86232527
2024-03-10 18:47:00,993.2,993.3,993.0,993.1,34312.07114224,34076317.85774322
2024-03-10 18:48:00,993.1,994.6,993.0,993.0,68530.56428841,68052316.5164298
2024-03-10 18:49:00,993.0,993.1,990.5,991.9,122300.36140037,121345011.72778374
2024-03-10 18:50:00,991.9,991.9,990.2,990.2,106275.35228315,105266502.36376771
2024-03-10 18:51:00,990.3,990.7,990.2,990.4,70348.69960282,69680226.25115432
2024-03-10 18:52:00,990.4,990.7,990.3,990.5,47128.17426195,46677994.69988566
2024-03-10 18:53:00,990.7,991.7,990.2,990.3,78454.51427514,77700370.322942
2024-03-10 18:54:00,990.4,990.4,990.0,990.0,101459.77103651,100456833.53844604
2024-03-10 18:55:00,990.0,990.2,989.8,989.8,56650.57564241,56083655.71063479
2024-03-10 18:56:00,989.8,990.2,989.8,989.9,74085.82115422,73336803.35475707
2024-03-10 18:57:00,989.9,990.3,989.9,989.9,32446.76995688,32121597.2353589
2024-03-10 18:58:00,989.9,990.0,989.7,989.9,36742.14758105,36370073.37590364
2024-03-10 18:59:00,989.9,990.1,988.5,988.5,83067.63366191,82189297.48549958
2024-03-10 19:00:00,988.5,989.0,986.9,986.9,78237.13790518,77268442.6308499
2024-03-10 19:01:00,986.9,988.0,986.9,988.0,64398.71964075,63572155.82601586
2024-03-10 19:02:00,988.0,989.0,987.5,989.0,38179.71320599,37722594.90534075
2024-03-10 19:03:00,988.6,989.0,987.5,989.0,12511.00634794,12369322.90563073
2024-03-10 19:04:00,988.9,988.9,987.7,987.7,28812.86152446,28481401.54673168
2024-03-10 19:05:00,987.7,988.0,987.5,987.7,37700.66709205,37237638.99595944
2024-03-10 19:06:00,987.7,987.7,987.5,987.7,37116.78856099,36658234.14304955
2024-03-10 19:07:00,987.5,988.0,987.5,987.7,6623.97779498,6541961.96084397
2024-03-10 19:08:00,987.7,988.0,987.7,988.0,31588.94499518,31203446.75497981
2024-03-10 19:09:00,988.5,988.5,988.4,988.5,4844.22039615,4788364.13257322
2024-03-10 19:10:00,988.4,988.5,988.3,988.4,15426.56958984,15248064.47295594
2024-03-10 19:11:00,988.4,988.6,988.0,988.5,19809.14416373,19578147.33179513
2024-03-10 19:12:00,988.2,988.9,987.8,988.1,25594.29091448,25286326.41285276
2024-03-10 19:13:00,988.1,988.2,988.1,988.1,7093.0086073,7008609.39519801
2024-03-10 19:14:00,988.1,988.8,988.1,988.1,7773.41508256,7681042.77114604
2024-03-10 19:15:00,988.1,988.6,988.1,988.2,8491.06718643,8390056.22971775
2024-03-10 19:16:00,988.5,988.6,988.1,988.6,29760.91653752,29410379.02283795
2024-03-10 19:17:00,988.6,989.0,988.4,988.4,28300.45467729,27987007.05132018
2024-03-10 19:18:00,988.4,988.5,988.3,988.3,13679.90434101,13520999.01033465
2024-03-10 19:19:00,988.4,989.5,988.3,988.4,28052.44020631,27736401.60869773
2024-03-10 19:20:00,988.4,988.4,988.3,988.3,34596.97047752,34193409.98434196
2024-03-10 19:21:00,988.3,988.4,988.2,988.3,37469.99843985,37029476.23026342
2024-03-10 19:22:00,988.3,988.5,988.3,988.4,48670.39084098,48104666.20850934
2024-03-10 19:23:00,988.4,988.4,988.3,988.3,24536.24005607,24249985.17506557
2024-03-10 19:24:00,988.4,989.8,988.4,988.6,37462.7478134,37030619.20115769
2024-03-10 19:25:00,988.6,989.8,988.6,989.7,5591.76485573,5532343.9285977
2024-03-10 19:26:00,989.7,989.7,988.6,988.6,42576.18798719,42110025.20643611
2024-03-10 19:27:00,988.8,989.5,988.6,988.8,63690.63477269,62973192.70307697
2024-03-10 19:28:00,988.8,989.8,988.8,988.8,20512.22216436,20283599.24786024
2024-03-10 19:29:00,989.2,989.2,988.7,988.7,24306.10050968,24033329.28608811
2024-03-10 19:30:00,988.7,989.2,987.8,987.8,169611.42420899,167635855.64603037
2024-03-10 19:31:00,987.9,989.2,987.9,989.2,7830.24202106,7740908.21399964
2024-03-10 19:32:00,989.2,989.8,987.9,989.1,187486.61795574,185306815.54347885
2024-03-10 19:33:00,989.8,989.8,987.8,988.9,97034.31013096,95902678.93678758
2024-03-10 19:34:00,989.8,989.8,988.0,989.8,117174.74559466,115826191.15797584
2024-03-10 19:35:00,987.8,989.5,987.8,988.1,18090.55623433,17874857.29637208
2024-03-10 19:36:00,988.1,988.5,988.1,988.5,7163.71898771,7080694.3132486
2024-03-10 19:37:00,989.7,990.1,989.5,989.7,36176.64149913,35807917.34414998
2024-03-10 19:38:00,989.6,989.6,988.1,988.5,44402.30223009,43891095.52499366
2024-03-10 19:39:00,988.5,988.8,988.0,988.2,80235.95895571,79290776.60108058
2024-03-10 19:40:00,988.2,989.6,987.7,987.7,35289.17452888,34864046.27325586
2024-03-10 19:41:00,987.8,988.0,987.6,987.6,28820.36481689,28467637.77157872
2024-03-10 19:42:00,987.6,988.0,987.0,987.6,102447.75151208,101133657.53243522
2024-03-10 19:43:00,987.6,988.0,986.6,987.1,100018.07891607,98718005.17177585
2024-03-10 19:44:00,987.5,989.6,987.5,988.3,64437.24501021,63679557.58489022
2024-03-10 19:45:00,988.3,989.4,988.3,989.3,32035.80137381,31689515.99202964
2024-03-10 19:46:00,989.3,989.3,988.6,988.7,19410.80860427,19195349.61952252
2024-03-10 19:47:00,989.3,989.3,988.6,989.3,51693.24769545,51117145.60369675
2024-03-10 19:48:00,989.3,989.8,989.3,989.6,10346.01468486,10236837.14527156
2024-03-10 19:49:00,989.9,992.9,989.8,989.8,53940.72011359,53456934.48074557
2024-03-10 19:50:00,989.7,991.5,989.7,991.4,26811.16158706,26556049.01007347
2024-03-10 19:51:00,991.9,992.0,990.1,991.4,23125.73380757,22923741.15785368
2024-03-10 19:52:00,991.0,993.5,991.0,993.3,34067.0438622,33819590.17446814
2024-03-10 19:53:00,993.3,995.0,993.3,994.0,72226.26317918,71805727.82089905
2024-03-10 19:54:00,994.0,994.9,993.5,994.5,44882.83320861,44600708.66035375
2024-03-10 19:55:00,993.9,994.9,993.6,994.9,11630.92990958,11564188.82916821
2024-03-10 19:56:00,994.3,995.0,993.8,995.0,5733.80377027,5703160.41321681
2024-03-10 19:57:00,995.0,995.4,994.3,994.9,32647.63502082,32478588.31909331
2024-03-10 19:58:00,994.9,997.0,994.9,995.1,22606.52379064,22503851.45207667
2024-03-10 19:59:00,995.1,997.0,995.1,996.1,20764.32039795,20688853.09587306
2024-03-10 20:00:00,996.1,997.0,995.9,995.9,15081.40395602,15028625.76862589
2024-03-10 20:01:00,995.9,997.0,995.9,997.0,16426.28292768,16374937.66591638
2024-03-10 20:02:00,997.0,999.5,997.0,999.5,59631.43819688,59517170.33647821
