,open,high,low,close,volume
2024-01-15 00:15:00,57991000.0,58039000.0,57970000.0,58004000.0,17.26027458
2024-01-15 00:16:00,58004000.0,58065000.0,57995000.0,58065000.0,12.92437037
2024-01-15 00:17:00,58065000.0,58084000.0,58044000.0,58071000.0,11.1873359
2024-01-15 00:18:00,58071000.0,58094000.0,58070000.0,58076000.0,6.01389906
2024-01-15 00:19:00,58075000.0,58076000.0,58049000.0,58060000.0,7.2979754
2024-01-15 00:20:00,58065000.0,58065000.0,57989000.0,58060000.0,12.75432348
2024-01-15 00:21:00,58015000.0,58060000.0,57980000.0,57980000.0,5.4905922
2024-01-15 00:22:00,57982000.0,57982000.0,57887000.0,57890000.0,12.00798786
2024-01-15 00:23:00,57888000.0,57888000.0,57817000.0,57817000.0,13.30334239
2024-01-15 00:24:00,57820000.0,57820000.0,57761000.0,57794000.0,14.60907296
2024-01-15 00:25:00,57794000.0,57902000.0,57794000.0,57898000.0,6.01397159
2024-01-15 00:26:00,57898000.0,57958000.0,57844000.0,57948000.0,12.36229828
2024-01-15 00:27:00,57948000.0,58009000.0,57922000.0,57998000.0,7.92485204
2024-01-15 00:28:00,58000000.0,58022000.0,57973000.0,58007000.0,12.15253076
2024-01-15 00:29:00,58001000.0,58007000.0,57943000.0,57953000.0,6.6792794
2024-01-15 00:30:00,57953000.0,57968000.0,57951000.0,57968000.0,4.82448658
2024-01-15 00:31:00,57967000.0,57967000.0,57953000.0,57955000.0,1.97448939
2024-01-15 00:32:00,57955000.0,57955000.0,57849000.0,57853000.0,7.55047126
2024-01-15 00:33:00,57853000.0,57898000.0,57852000.0,57877000.0,4.60155882
2024-01-15 00:34:00,57877000.0,57950000.0,57860000.0,57946000.0,4.76903345
2024-01-15 00:35:00,57943000.0,58095000.0,57922000.0,58095000.0,9.11472473
2024-01-15 00:36:00,58097000.0,58170000.0,58086000.0,58160000.0,11.84237315
2024-01-15 00:37:00,58157000.0,58157000.0,58054000.0,58137000.0,9.46145247
2024-01-15 00:38:00,58137000.0,58141000.0,58117000.0,58139000.0,5.99842997
2024-01-15 00:39:00,58136000.0,58160000.0,58104000.0,58135000.0,6.96696376
2024-01-15 00:40:00,58135000.0,58135000.0,58112000.0,58119000.0,1.48045213
2024-01-15 00:41:00,58125000.0,58129000.0,58115000.0,58122000.0,2.9929883
2024-01-15 00:42:00,58122000.0,58125000.0,58115000.0,58115000.0,4.44270295
2024-01-15 00:43:00,58120000.0,58121000.0,58113000.0,58116000.0,2.36985091
2024-01-15 00:44:00,58116000.0,58260000.0,58114000.0,58252000.0,11.59846343
2024-01-15 00:45:00,58253000.0,58253000.0,58112000.0,58113000.0,9.11495946
2024-01-15 00:46:00,58113000.0,58200000.0,58112000.0,58144000.0,2.78184556
2024-01-15 00:47:00,58133000.0,58144000.0,58110000.0,58110000.0,6.73504117
2024-01-15 00:48:00,58113000.0,58124000.0,58051000.0,58058000.0,6.1351382
2024-01-15 00:49:00,58058000.0,58126000.0,58044000.0,58126000.0,5.23545254
2024-01-15 00:50:00,58126000.0,58126000.0,58066000.0,58068000.0,7.22933937
