,open,high,low,close,volume,value
2024-02-05 07:20:00,59139000.0,59139000.0,59138000.0,59138000.0,0.04279488,2530843.02643
2024-02-05 07:21:00,59138000.0,59138000.0,59085000.0,59134000.0,1.57118575,92868295.82759
2024-02-05 07:22:00,59132000.0,59132000.0,59085000.0,59087000.0,0.14048999,8301174.06362
2024-02-05 07:23:00,59087000.0,59102000.0,59087000.0,59102000.0,0.04986265,2946259.7804
2024-02-05 07:24:00,59101000.0,59101000.0,59056000.0,59089000.0,2.87328052,169748180.59543
2024-02-05 07:25:00,59060000.0,59060000.0,59030000.0,59030000.0,1.71342645,101162726.65302
2024-02-05 07:26:00,59030000.0,59041000.0,59000000.0,59006000.0,2.1785476,128554591.45768
2024-02-05 07:27:00,59000000.0,59000000.0,58901000.0,58947000.0,3.21041737,189284710.14372
2024-02-05 07:28:00,58947000.0,58947000.0,58910000.0,58923000.0,1.37093979,80778438.34054
2024-02-05 07:29:00,58923000.0,58947000.0,58920000.0,58923000.0,1.49768194,88245739.11591
2024-02-05 07:30:00,58923000.0,58966000.0,58920000.0,58966000.0,1.96434169,115786360.26371
2024-02-05 07:31:00,58966000.0,58993000.0,58966000.0,58993000.0,0.32294645,19046431.14459
2024-02-05 07:32:00,58993000.0,58993000.0,58959000.0,58959000.0,1.31491535,77538300.92799
2024-02-05 07:33:00,58946000.0,58946000.0,58920000.0,58934000.0,2.42319421,142816728.78518
2024-02-05 07:34:00,58934000.0,58934000.0,58920000.0,58921000.0,0.57186093,33700408.81595
2024-02-05 07:35:00,58921000.0,58934000.0,58921000.0,58929000.0,0.43352275,25546150.82286
2024-02-05 07:36:00,58929000.0,58934000.0,58928000.0,58934000.0,0.39926719,23528871.07042
2024-02-05 07:37:00,58942000.0,58942000.0,58934000.0,58942000.0,0.61612251,36314318.00818
2024-02-05 07:38:00,58940000.0,58940000.0,58921000.0,58930000.0,0.90857568,53539340.51693
2024-02-05 07:39:00,58922000.0,58933000.0,58654000.0,58750000.0,50.57553752,2971837177.2207
2024-02-05 07:40:00,58750000.0,58755000.0,58650000.0,58657000.0,9.6385566,565776253.44727
2024-02-05 07:41:00,58657000.0,58670000.0,58633000.0,58642000.0,5.0161177,294170454.92987
2024-02-05 07:42:00,58642000.0,58755000.0,58634000.0,58755000.0,7.90145697,463877376.60526
